configuration_id,strategy,K,selected_ex,median_reconstruction_error,p10_reconstruction_error,p90_reconstruction_error,worst_reconstruction_error,median_spectral_cosine,p10_spectral_cosine,worst_spectral_cosine,median_supported_fraction,median_unsupported_fraction,median_rho,minimum_rho,rho_ge_090_count,rho_ge_095_count
Uniform-2,Uniform,2,300;700,0.27385786612778934,0.20447370666121206,0.4909189129716232,0.662074646325469,0.9642711187497093,0.8788532372549743,0.7628724092048386,0.9115449505905038,0.08845504940949626,0.8160919540229885,0.33497536945812806,3,1
Uniform-3,Uniform,3,300;500;700,0.2572379138865162,0.18242382491612666,0.4639302980019822,0.6437700972203241,0.9709158932662498,0.9023694899310923,0.7820889947878827,0.9363702096890817,0.0636297903109183,0.9129720853858784,0.8171866447728516,20,7
Uniform-4,Uniform,4,300;435;565;700,0.2637237504303027,0.18635732901101415,0.46568833405597543,0.6398349795176516,0.9680782169563975,0.9001903947402187,0.7708309291668166,0.9983128464690287,0.0016871535309713184,0.9589490968801313,0.9014778325123153,29,20
Uniform-6,Uniform,6,300;380;460;540;620;700,0.21981975094758682,0.17768987822220644,0.4358021393417566,0.5742383875419789,0.9759571781574108,0.906777661818186,0.8212778860219655,0.9983128464690287,0.0016871535309713184,0.9715380405035577,0.8582375478927203,28,23
Uniform-8,Uniform,8,300;355;415;470;530;585;645;700,0.19199236371468273,0.15993414990662538,0.3796813699191002,0.5493426874227995,0.9817267040528744,0.9249070946384315,0.8358212260565356,0.9983128464690287,0.0016871535309713184,0.986863711001642,0.9490968801313627,29,28
