strategy,K,n_sites,relative_frobenius_error_fullrange_p90,supported_fraction_median,single_support_fraction_median,unsupported_fraction_median,rho_structure_median,rho_structure_min,rho_ge_0.90,spearman_error_vs_rho,spearman_cosine_vs_rho,spectral_cosine_fullrange_p90,relative_frobenius_error_fullrange_median,relative_frobenius_error_fullrange_p10,relative_frobenius_error_fullrange_worst,relative_frobenius_error_fullrange_iqr,relative_frobenius_error_fullrange_mean,relative_frobenius_error_interpdomain_median,relative_frobenius_error_interpdomain_p10,relative_frobenius_error_interpdomain_worst,relative_frobenius_error_interpdomain_iqr,relative_frobenius_error_interpdomain_mean,nrmse_energy_fullrange_median,nrmse_energy_fullrange_p10,nrmse_energy_fullrange_worst,nrmse_energy_fullrange_iqr,nrmse_energy_fullrange_mean,spectral_cosine_fullrange_median,spectral_cosine_fullrange_p10,spectral_cosine_fullrange_worst,spectral_cosine_fullrange_iqr,spectral_cosine_fullrange_mean,spectral_cosine_interpdomain_median,spectral_cosine_interpdomain_p10,spectral_cosine_interpdomain_worst,spectral_cosine_interpdomain_iqr,spectral_cosine_interpdomain_mean
NAIG,2,29,0.5994764588806901,0.9681851048445409,0.19040732706676308,0.03181489515545915,0.9430760810071156,0.3979200875752601,23,0.10493903269646003,-0.09680995269884692,0.9835153995031788,0.24521383013235956,0.18458963550764668,0.7777479969515391,0.13414593011128678,0.3166028995483374,0.2296125169687946,0.16859489203107925,0.6804181979831861,0.13430422837185718,0.29226067778541703,0.24521383013235956,0.18458963550764668,0.7777479969515391,0.1341459301112868,0.3166028995483374,0.9701265846523147,0.8363337923103931,0.7569746694220071,0.034412313772632874,0.9446499982849894,0.977091069620364,0.8820591873938533,0.7813734765767385,0.02133394557967727,0.9575221291431956
NAIG,3,29,0.5988894072508157,0.9681851048445409,0.06531694384188962,0.03181489515545915,0.9540229885057472,0.4094143404488232,24,-0.002217294967512481,-0.02118748524511926,0.9835066471142783,0.24631792407702036,0.18339767812515165,0.6848498063105026,0.1081547337370847,0.3032033036515265,0.24822797388622522,0.1774207292279324,0.7845629994968671,0.12159448035671172,0.3054004110770816,0.2463179240770203,0.18339767812515168,0.6848498063105026,0.10815473373708462,0.3032033036515265,0.9698673569407376,0.8547873641453223,0.7705168024217488,0.0263822100854334,0.9480846896819665,0.9744812829623596,0.884174878111553,0.8064906321805834,0.030776587808150735,0.9545204035392426
NAIG,4,29,0.572549070899552,0.9681851048445409,0.049168474331164135,0.03181489515545915,0.9562123700054737,0.6568144499178982,24,-0.17194235873739225,0.13942603874693985,0.9840748446888863,0.24566627176571576,0.18051954718922658,0.714717812047796,0.0991512535430002,0.3044925860028865,0.24555149167388635,0.17420360555716313,0.7069297094929212,0.1352419610860215,0.3003237736130877,0.24566627176571576,0.18051954718922658,0.7147178120477958,0.09915125354300014,0.3044925860028865,0.9717413838756667,0.8487390812119244,0.7697872047790265,0.025243899162636363,0.9468188117458008,0.9735879438913885,0.8879880628510471,0.8089341725804857,0.03177614284791053,0.9530902439387724
NAIG,6,29,0.5604623259414409,0.9893950349481803,0.026271390696553387,0.010604965051819716,0.9540229885057474,0.9239189928845104,29,-0.21359941520370235,0.24464154474887712,0.9818381246256112,0.27086946881468577,0.19673985827830157,0.7306087894888652,0.1348535149520352,0.3257758884708719,0.27726380853778143,0.19684653007816913,0.8590136410633583,0.15764287269384183,0.3271415432613722,0.2708694688146858,0.19673985827830157,0.7306087894888652,0.13485351495203524,0.3257758884708719,0.9681656653258283,0.8582481353680175,0.7988341802038599,0.03568879078412468,0.9441738551009975,0.9688488243729478,0.8756112272897175,0.8411315712931892,0.03547775372925255,0.9479229191364926
NAIG,8,29,0.6034313978345651,0.9910821884791516,0.019763798505664017,0.008917811520848397,0.970990695128626,0.9195402298850576,29,-0.22813501554628418,0.22567135447127032,0.982589192794736,0.26050509098175223,0.19155339261833965,0.7190610384657374,0.12771000847235414,0.314852231709778,0.2620832213489939,0.18671655851098531,0.7182776035609115,0.14996323694849936,0.3136332456159479,0.26050509098175223,0.19155339261833967,0.7190610384657375,0.12771000847235417,0.31485223170977805,0.970080878154002,0.8399767455647867,0.7623170228204911,0.03918398000475032,0.9428845286311046,0.9668959273367204,0.8662501046377526,0.7716587862627801,0.039782893370266526,0.9462120981296848
Uniform,2,29,0.4909189129716232,0.9115449505905038,0.606411183417691,0.08845504940949626,0.8160919540229885,0.3349753694581281,3,0.05888149969283144,-0.10051737186056581,0.9790941316704431,0.27385786612778934,0.20447370666121206,0.662074646325469,0.1009536007156179,0.3134608398152471,0.27385786612778934,0.20447370666121206,0.662074646325469,0.1009536007156179,0.3134608398152471,0.2738578661277893,0.2044737066612121,0.662074646325469,0.10095360071561787,0.3134608398152471,0.9642711187497093,0.8788532372549743,0.7628724092048386,0.026453350259028174,0.9430305335795307,0.9642711187497093,0.8788532372549743,0.7628724092048386,0.026453350259028174,0.9430305335795307
Uniform,3,29,0.4639302980019822,0.9363702096890817,0.18775608580380815,0.0636297903109183,0.9129720853858784,0.8171866447728517,20,0.06305418719211821,-0.049753694581280775,0.9836157313331267,0.2572379138865162,0.18242382491612666,0.6437700972203241,0.10120862132303257,0.2958424709055011,0.2572379138865162,0.18242382491612666,0.6437700972203241,0.10120862132303257,0.2958424709055011,0.2572379138865161,0.1824238249161267,0.6437700972203241,0.10120862132303249,0.2958424709055011,0.9709158932662498,0.9023694899310923,0.7820889947878827,0.026079385190943216,0.9500140654156064,0.9709158932662498,0.9023694899310923,0.7820889947878827,0.026079385190943216,0.9500140654156064
Uniform,4,29,0.46568833405597543,0.9983128464690287,0.1099060014461316,0.0016871535309713184,0.9589490968801314,0.9014778325123152,29,0.21173286538152647,-0.18609815292555582,0.9830751868961499,0.2637237504303027,0.18635732901101415,0.6398349795176516,0.09995449393845143,0.29738911252042594,0.2637237504303027,0.18635732901101415,0.6398349795176516,0.09995449393845143,0.29738911252042594,0.26372375043030266,0.18635732901101412,0.6398349795176518,0.09995449393845146,0.29738911252042594,0.9680782169563975,0.9001903947402187,0.7708309291668166,0.027448202242487008,0.9480630453216227,0.9680782169563975,0.9001903947402187,0.7708309291668166,0.027448202242487008,0.9480630453216227
Uniform,6,29,0.4358021393417566,0.9983128464690287,0.04338394793926247,0.0016871535309713184,0.9715380405035576,0.8582375478927203,28,0.5296871311279816,-0.5203252190429289,0.9841690290015711,0.21981975094758682,0.17768987822220644,0.5742383875419789,0.08156835525834352,0.2607391286636269,0.21981975094758682,0.17768987822220644,0.5742383875419789,0.08156835525834352,0.2607391286636269,0.21981975094758682,0.17768987822220644,0.5742383875419789,0.08156835525834344,0.2607391286636269,0.9759571781574108,0.906777661818186,0.8212778860219655,0.018147969126272256,0.9593812554216067,0.9759571781574108,0.906777661818186,0.8212778860219655,0.018147969126272256,0.9593812554216067
Uniform,8,29,0.3796813699191002,0.9983128464690287,0.023620149433598456,0.0016871535309713184,0.9868637110016422,0.949096880131363,29,0.29187734271224064,-0.29458904099757394,0.9874021481815021,0.19199236371468273,0.15993414990662538,0.5493426874227995,0.06968957758010241,0.23421305977924392,0.19199236371468273,0.15993414990662538,0.5493426874227995,0.06968957758010241,0.23421305977924392,0.19199236371468278,0.15993414990662536,0.5493426874227996,0.06968957758010236,0.23421305977924392,0.9817267040528744,0.9249070946384315,0.8358212260565356,0.013936529809777332,0.9659236164610567,0.9817267040528744,0.9249070946384315,0.8358212260565356,0.013936529809777332,0.9659236164610567
