configuration_id,strategy,K,selected_ex,median_reconstruction_error,p10_reconstruction_error,p90_reconstruction_error,worst_reconstruction_error,median_spectral_cosine,p10_spectral_cosine,worst_spectral_cosine,median_supported_fraction,median_unsupported_fraction,median_rho,minimum_rho,rho_ge_090_count,rho_ge_095_count,random_seed,minimum_spacing_nm,is_fixed_uniform
Random-K4-435,Random-fixed,4,365;410;430;485,0.19717941450778217,0.16972550790246368,0.39813037991089384,0.5983110127379582,0.9808294274029792,0.930481226724486,0.8346058285822149,0.9681851048445409,0.03181489515545915,0.9600437876299945,0.8062397372742199,27,19,42.0,20.0,False
Random-K4-089,Random-fixed,4,320;365;415;435,0.1979382275955969,0.1612029329305187,0.45113266136036173,0.48710627057109074,0.9816029734651412,0.9133742136433881,0.8771442642138711,0.9927693420101229,0.0072306579898770785,0.9709906951286261,0.9047619047619048,29,24,42.0,20.0,False
Random-K4-326,Random-fixed,4,315;385;460;490,0.20991452060909,0.1681551746794385,0.38014613603151093,0.5373837852571807,0.977902717454081,0.9241590333976873,0.8447797550266638,0.9959026271390696,0.0040973728609303445,0.9748221127531472,0.8899835796387521,27,24,42.0,30.0,False
Random-K4-161,Random-fixed,4,300;340;415;440,0.21137616835151807,0.16828135414858053,0.49025692752828387,0.5348536355733687,0.9782860577632948,0.9019875477635816,0.8530808605164258,0.9983128464690287,0.0016871535309713184,0.9786535303776682,0.9474548440065682,29,27,42.0,25.0,False
Random-K4-380,Random-fixed,4,320;440;530;640,0.22307236346502113,0.1743282630601317,0.4139661986293499,0.5916679247956215,0.9753566927963244,0.9126206605727627,0.806181782903397,0.9927693420101229,0.0072306579898770785,0.9797482211275315,0.9573070607553366,29,29,42.0,90.0,False
Random-K4-128,Random-fixed,4,330;405;515;595,0.22719209741759294,0.17567543447139075,0.43456227891044064,0.5613818203588844,0.9766756975921775,0.9216944228545858,0.8294850043282564,0.9893950349481803,0.010604965051819716,0.9819376026272578,0.920087575259989,29,25,42.0,75.0,False
Random-K4-352,Random-fixed,4,320;435;495;665,0.22726033100013887,0.1739493557550951,0.41238960384641166,0.5894121697589039,0.9743013792896157,0.9120276327928155,0.8084314290287363,0.9927693420101229,0.0072306579898770785,0.9846743295019157,0.9332238642583469,29,27,42.0,60.0,False
