configuration_id,strategy,K,selected_ex,median_reconstruction_error,p10_reconstruction_error,p90_reconstruction_error,worst_reconstruction_error,median_spectral_cosine,p10_spectral_cosine,worst_spectral_cosine,median_supported_fraction,median_unsupported_fraction,median_rho,minimum_rho,rho_ge_090_count,rho_ge_095_count,random_seed,minimum_spacing_nm,rho_perf_percentile,error_perf_percentile
Random-K4-161,Random-fixed,4,300;340;415;440,0.21137616835151807,0.16828135414858053,0.49025692752828387,0.5348536355733687,0.9782860577632948,0.9019875477635816,0.8530808605164258,0.9983128464690287,0.0016871535309713184,0.9786535303776682,0.9474548440065682,29,27,42,25,95.0,97.8
Random-K4-273,Random-fixed,4,355;400;435;455,0.21432500309150732,0.16579271047300764,0.5020906441730981,0.5864009581220313,0.9826345989902231,0.9000262777641043,0.8615673027990972,0.9746926970354303,0.025307302964569775,0.9759168035030105,0.8390804597701149,28,27,42,20,91.60000000000001,96.8
Random-K4-380,Random-fixed,4,320;440;530;640,0.22307236346502113,0.1743282630601317,0.4139661986293499,0.5916679247956215,0.9753566927963244,0.9126206605727627,0.806181782903397,0.9927693420101229,0.0072306579898770785,0.9797482211275315,0.9573070607553366,29,29,42,90,96.39999999999999,90.2
Random-K4-431,Random-fixed,4,315;440;505;610,0.21492599442475802,0.17754196644724296,0.40834081733570193,0.6062276936925316,0.9767782815646396,0.9113768456199879,0.795329999583505,0.9959026271390696,0.0040973728609303445,0.9770114942528736,0.9321291735084838,29,26,42,65,93.0,96.39999999999999
Random-K4-494,Random-fixed,4,315;435;485;635,0.22164149308050654,0.1750347176986192,0.4061786280611306,0.5998358658280031,0.975175716379937,0.9121740875451783,0.800149920081277,0.9959026271390696,0.0040973728609303445,0.9764641488779421,0.9348659003831418,29,27,42,50,92.30000000000001,91.8
