configuration_id,strategy,K,selected_ex,median_reconstruction_error,p10_reconstruction_error,p90_reconstruction_error,worst_reconstruction_error,median_spectral_cosine,p10_spectral_cosine,worst_spectral_cosine,median_supported_fraction,median_unsupported_fraction,median_rho,minimum_rho,rho_ge_090_count,rho_ge_095_count,random_seed,minimum_spacing_nm,is_fixed_uniform
Random-K6-388,Random-fixed,6,305;340;395;415;455;560,0.17011279550658143,0.14818775594059913,0.4806375001979919,0.493131739563337,0.9859434847799327,0.9117435982179106,0.8733845618542416,0.997589780670041,0.002410219329959026,0.9835796387520527,0.9578544061302682,29,29,42.0,20.0,False
Random-K6-494,Random-fixed,6,305;360;405;435;620;685,0.18269205258069396,0.15316591772517696,0.31380279265183586,0.5112389314063531,0.9831804483705113,0.9485984471651845,0.8609057047219326,0.997589780670041,0.002410219329959026,0.9863163656267103,0.9627805145046523,29,29,42.0,30.0,False
Random-K6-204,Random-fixed,6,340;390;415;500;540;620,0.19992946933675187,0.16950056221199775,0.36285916574464955,0.5077201248386629,0.982154472729077,0.9472222197367344,0.8625360752964493,0.9840925524222705,0.015907447577729574,0.9890530925013684,0.9469074986316366,29,28,42.0,25.0,False
Random-K6-465,Random-fixed,6,330;405;435;540;595;675,0.2078428530331895,0.1702851989847697,0.40226462874103397,0.5256824362425228,0.9785895360371398,0.9287508696354603,0.8508823942048461,0.9893950349481803,0.010604965051819716,0.9896004378762999,0.9321291735084838,29,28,42.0,30.0,False
