configuration_id,strategy,K,selected_ex,median_reconstruction_error,p10_reconstruction_error,p90_reconstruction_error,worst_reconstruction_error,median_spectral_cosine,p10_spectral_cosine,worst_spectral_cosine,median_supported_fraction,median_unsupported_fraction,median_rho,minimum_rho,rho_ge_090_count,rho_ge_095_count,random_seed,minimum_spacing_nm,is_fixed_uniform
Random-K4-435,Random-fixed,4,365;410;430;485,0.1971794145077821,0.1697255079024636,0.3981303799108938,0.5983110127379582,0.9808294274029792,0.930481226724486,0.8346058285822149,0.9681851048445408,0.0318148951554591,0.9600437876299944,0.8062397372742199,27,19,42.0,20.0,False
Random-K4-089,Random-fixed,4,320;365;415;435,0.1979382275955969,0.1612029329305187,0.4511326613603617,0.4871062705710907,0.9816029734651412,0.913374213643388,0.8771442642138711,0.9927693420101228,0.007230657989877,0.970990695128626,0.9047619047619048,29,24,42.0,20.0,False
Random-K4-326,Random-fixed,4,315;385;460;490,0.20991452060909,0.1681551746794385,0.3801461360315109,0.5373837852571807,0.977902717454081,0.9241590333976872,0.8447797550266638,0.9959026271390696,0.0040973728609303,0.9748221127531472,0.8899835796387521,27,24,42.0,30.0,False
Random-K4-161,Random-fixed,4,300;340;415;440,0.211376168351518,0.1682813541485805,0.4902569275282838,0.5348536355733687,0.9782860577632948,0.9019875477635816,0.8530808605164258,0.9983128464690288,0.0016871535309713,0.9786535303776682,0.9474548440065682,29,27,42.0,25.0,False
Random-K4-380,Random-fixed,4,320;440;530;640,0.2230723634650211,0.1743282630601317,0.4139661986293499,0.5916679247956215,0.9753566927963244,0.9126206605727628,0.806181782903397,0.9927693420101228,0.007230657989877,0.9797482211275316,0.9573070607553366,29,29,42.0,90.0,False
Random-K4-128,Random-fixed,4,330;405;515;595,0.2271920974175929,0.1756754344713907,0.4345622789104406,0.5613818203588844,0.9766756975921776,0.9216944228545858,0.8294850043282564,0.9893950349481804,0.0106049650518197,0.9819376026272578,0.920087575259989,29,25,42.0,75.0,False
Random-K4-352,Random-fixed,4,320;435;495;665,0.2272603310001388,0.1739493557550951,0.4123896038464116,0.5894121697589039,0.9743013792896156,0.9120276327928156,0.8084314290287363,0.9927693420101228,0.007230657989877,0.9846743295019156,0.9332238642583468,29,27,42.0,60.0,False
