configuration_id,strategy,K,selected_ex,median_reconstruction_error,p10_reconstruction_error,p90_reconstruction_error,worst_reconstruction_error,median_spectral_cosine,p10_spectral_cosine,worst_spectral_cosine,median_supported_fraction,median_unsupported_fraction,median_rho,minimum_rho,rho_ge_090_count,rho_ge_095_count,random_seed,minimum_spacing_nm,is_fixed_uniform
Random-K6-388,Random-fixed,6,305;340;395;415;455;560,0.1701127955065814,0.1481877559405991,0.4806375001979919,0.493131739563337,0.9859434847799328,0.9117435982179106,0.8733845618542416,0.997589780670041,0.002410219329959,0.9835796387520528,0.9578544061302682,29,29,42.0,20.0,False
Random-K6-494,Random-fixed,6,305;360;405;435;620;685,0.1826920525806939,0.1531659177251769,0.3138027926518358,0.5112389314063531,0.9831804483705112,0.9485984471651844,0.8609057047219326,0.997589780670041,0.002410219329959,0.9863163656267104,0.9627805145046524,29,29,42.0,30.0,False
Random-K6-204,Random-fixed,6,340;390;415;500;540;620,0.1999294693367518,0.1695005622119977,0.3628591657446495,0.5077201248386629,0.982154472729077,0.9472222197367344,0.8625360752964493,0.9840925524222705,0.0159074475777295,0.9890530925013684,0.9469074986316366,29,28,42.0,25.0,False
Random-K6-465,Random-fixed,6,330;405;435;540;595;675,0.2078428530331895,0.1702851989847697,0.4022646287410339,0.5256824362425228,0.9785895360371398,0.9287508696354604,0.8508823942048461,0.9893950349481804,0.0106049650518197,0.9896004378763,0.9321291735084838,29,28,42.0,30.0,False
