site_id,strategy,K,selected_ex,relative_frobenius_error_fullrange,relative_frobenius_error_interpdomain,spectral_cosine_fullrange,spectral_cosine_interpdomain,reconstruction_supported_fraction_fullrange,unsupported_fraction_fullrange
S01,NAIG,2,425;360,0.3431711049907139,0.2582561837882179,0.9420221537173884,0.9666708127872116,0.9715594119064836,0.0284405880935165
S01,NAIG,3,425;360;620,0.3379452255587085,0.3326369533360788,0.9443040161152336,0.9432985447864176,0.9715594119064836,0.0284405880935165
S01,NAIG,4,425;360;620;500,0.3420752980869568,0.3355527923479786,0.9439581438091406,0.9426080823906028,0.9715594119064836,0.0284405880935165
S01,NAIG,6,425;360;620;500;465;305,0.3345113561969025,0.3362687471853707,0.943615809779028,0.9441430310397813,0.997589780670041,0.002410219329959
S01,NAIG,8,425;360;620;500;465;305;540;660,0.3369521676841719,0.3370222096580074,0.9415876295387926,0.9417091586937494,0.997589780670041,0.002410219329959
S01,Uniform,2,300;700,0.327355263442868,0.327355263442868,0.950043523151404,0.950043523151404,0.9115449505905038,0.0884550494094962
S01,Uniform,3,300;500;700,0.3075768474512234,0.3075768474512234,0.9574818961531436,0.9574818961531436,0.9363702096890816,0.0636297903109183
S01,Uniform,4,300;435;565;700,0.3116320509885442,0.3116320509885442,0.9531934357656188,0.9531934357656188,0.9983128464690288,0.0016871535309713
S01,Uniform,6,300;380;460;540;620;700,0.2198197509475868,0.2198197509475868,0.9759571781574108,0.9759571781574108,0.9983128464690288,0.0016871535309713
S01,Uniform,8,300;355;415;470;530;585;645;700,0.1868636258078168,0.1868636258078168,0.982578552736072,0.982578552736072,0.9983128464690288,0.0016871535309713
S02,NAIG,2,365;620,0.2865436128203683,0.3192341124666924,0.9581198508447448,0.9486929618498642,0.9681851048445408,0.0318148951554591
S02,NAIG,3,365;620;450,0.2894734227446678,0.3149210447686036,0.957471065512639,0.9491777030950826,0.9681851048445408,0.0318148951554591
S02,NAIG,4,365;620;450;695,0.2866160834275745,0.3124083041847794,0.9582257302870886,0.9499482774880672,0.9681851048445408,0.0318148951554591
S02,NAIG,6,365;620;450;695;545;425,0.7306087894888652,0.8590136410633583,0.8617272759531899,0.8411315712931892,0.9681851048445408,0.0318148951554591
S02,NAIG,8,365;620;450;695;545;425;475;505,0.2837860306826524,0.3087125543229646,0.9588956932628888,0.9517916469020165,0.9681851048445408,0.0318148951554591
S02,Uniform,2,300;700,0.2825756611006206,0.2825756611006206,0.9619646347128836,0.9619646347128836,0.9115449505905038,0.0884550494094962
S02,Uniform,3,300;500;700,0.2693050395279905,0.2693050395279905,0.9664143333877,0.9664143333877,0.9363702096890816,0.0636297903109183
S02,Uniform,4,300;435;565;700,0.2609068451443687,0.2609068451443687,0.9654460085729322,0.9654460085729322,0.9983128464690288,0.0016871535309713
S02,Uniform,6,300;380;460;540;620;700,0.2098097858918697,0.2098097858918697,0.978491424264273,0.978491424264273,0.9983128464690288,0.0016871535309713
S02,Uniform,8,300;355;415;470;530;585;645;700,0.1943415179946331,0.1943415179946331,0.98162947514538,0.98162947514538,0.9983128464690288,0.0016871535309713
S03,NAIG,2,470;545,0.7777479969515391,0.5721852972859857,0.8682671970964001,0.9510720389855388,0.8522535550735116,0.1477464449264883
S03,NAIG,3,470;545;620,0.6101602573885209,0.4007844234034838,0.901778812704232,0.974100876258186,0.8522535550735116,0.1477464449264883
S03,NAIG,4,470;545;620;425,0.714717812047796,0.5951672645016506,0.8499694839673033,0.894274313249986,0.9346830561581104,0.0653169438418896
S03,NAIG,6,470;545;620;425;375;305,0.4848634815444094,0.4784468639600009,0.8749997844845245,0.879587811975199,0.997589780670041,0.002410219329959
S03,NAIG,8,470;545;620;425;375;305;445;675,0.7190610384657374,0.7182776035609115,0.8662396281279222,0.8676727416171245,0.997589780670041,0.002410219329959
S03,Uniform,2,300;700,0.4622412057781667,0.4622412057781667,0.8927509618719254,0.8927509618719254,0.9115449505905038,0.0884550494094962
S03,Uniform,3,300;500;700,0.380832399630839,0.380832399630839,0.9247508769844942,0.9247508769844942,0.9363702096890816,0.0636297903109183
S03,Uniform,4,300;435;565;700,0.3364728732957402,0.3364728732957402,0.9457036006607438,0.9457036006607438,0.9983128464690288,0.0016871535309713
